status	title	slug	provider	url	host	http	pageTitle	reason
WARN	The Bicentennial Swedish-American Exchange Fund	the-bicentennial-swedish-american-exchange-fund-se	The Bicentennial Swedish-American Exchange Fund	https://1976fund.org/	1976fund.org	200	1976 års fond &#8211; sweamfo	title match 0/4
WARN	NSF Accelerated AI Algorithms for Data-Driven Discovery Institute Postbaccalaureate Fellowship Program	nsf-accelerated-ai-algorithms-for-data-driven-discovery-institute-postbaccalaureate-fellowship-program	California Institute of Technology	https://a3d3.ai/jobs.html	a3d3.ai	200	Careers - A3D3	title match 0/8
WARN	NSF Accelerated AI Algorithms for Data-Driven Discovery Institute Postbaccalaureate Fellowship Program	nsf-accelerated-ai-algorithms-for-data-driven-discovery-institute-postbaccalaureate-fellowship-program-thmsdata	Duke University	https://a3d3.ai/jobs.html	a3d3.ai	200	Careers - A3D3	title match 0/8
WARN	Macgeorge Fellowships at The University of Melbourne 2026	macgeorge-fellowships-at-the-university-of-melbourne-2026	University of Melbourne	https://about.unimelb.edu.au/strategy/governance/macgeorge/macgeorge#:~:text=Macgeorge%20Fellowships%20are%20open%20to,%2C%20history%2C%20philosophy%20and%20anthropology.	about.unimelb.edu.au	200	Macgeorge	title match 1/4
WARN	MBA Scholarships at Columbia Business School 2026	mba-scholarships-at-columbia-business-school-2026	Columbia Business school (Columbia University)	https://academics.business.columbia.edu/mba/tuition-financial-aid/mba-scholarships	academics.business.columbia.edu	200	MBA Scholarships | CBS Academics	title match 1/4
WARN	SKKU International Student Scholarships	skku-international-student-scholarships-kr	Sungkyunkwan University (SKKU)	https://admission-global.skku.edu/eng/grad/scholarship_undergrad.html	admission-global.skku.edu	200	SUNG KYUN KWAN UNIVERSITY(SKKU)	title match 0/3
WARN	China University Of Geosciences International Freshman Scholarship 2025	china-university-of-geosciences-international-freshman-scholarship-2025	China Scholarship Council (CSC)	http://admission.cug.edu.cn/member/login.do	admission.cug.edu.cn	200	Online Service Platform for International Students	title match 1/6
WARN	Financial Aid at Princeton University 2026	financial-aid-at-princeton-university-2026	Princeton University	https://admission.princeton.edu/how-apply/international-students	admission.princeton.edu	200	International Students | Princeton Admission	title match 1/3
FAIL	Southwestern University Of Finance And Economics President&#039;s Scholarship 2025	southwestern-university-of-finance-and-economics-president-039-s-scholarship-2025	China Scholarship Council (CSC)	http://admission.swufe.edu.cn/member/login.do	admission.swufe.edu.cn	500		HTTP 500
WARN	Mayoral Scholars Program at Tulane University 2025	mayoral-scholars-program-at-tulane-university-2025	Tulane University	https://admission.tulane.edu/tuition-aid/louisiana-residents	admission.tulane.edu	200	Financial Aid for Louisiana Residents	title match 0/5
